run_id,summary_path,config_path,repetitions_run,customer_customer_weight,customer_item_weight,normalize_customer_customer,normalize_customer_item,beta,ndcg_at_k_mean,ndcg_at_k_std,recall_at_k_mean,recall_at_k_std,mrr_at_k_mean,mrr_at_k_std
run_0010,C:\Users\lovro\Desktop\hackatoni\LUMEN2026\classic_methods\output_search\embedding_distance_katz_search\20260412_185555\run_0010\validation_summary.json,C:\Users\lovro\Desktop\hackatoni\LUMEN2026\classic_methods\config\search_runtime\embedding_distance_katz_search\20260412_185555\run_0010\base.yaml,1,0.07,1.0,True,True,0.9,0.19372060439421637,0.0,0.3230769230769231,0.0,0.153884004884005,0.0
run_0006,C:\Users\lovro\Desktop\hackatoni\LUMEN2026\classic_methods\output_search\embedding_distance_katz_search\20260412_185555\run_0006\validation_summary.json,C:\Users\lovro\Desktop\hackatoni\LUMEN2026\classic_methods\config\search_runtime\embedding_distance_katz_search\20260412_185555\run_0006\base.yaml,1,0.04,1.0,True,True,0.9,0.19199490047913637,0.0,0.3230769230769231,0.0,0.15173137973137982,0.0
run_0001,C:\Users\lovro\Desktop\hackatoni\LUMEN2026\classic_methods\output_search\embedding_distance_katz_search\20260412_185555\run_0001\validation_summary.json,C:\Users\lovro\Desktop\hackatoni\LUMEN2026\classic_methods\config\search_runtime\embedding_distance_katz_search\20260412_185555\run_0001\base.yaml,1,0.02,1.0,True,True,0.95,0.19186587083365375,0.0,0.3169230769230769,0.0,0.15320634920634926,0.0
run_0009,C:\Users\lovro\Desktop\hackatoni\LUMEN2026\classic_methods\output_search\embedding_distance_katz_search\20260412_185555\run_0009\validation_summary.json,C:\Users\lovro\Desktop\hackatoni\LUMEN2026\classic_methods\config\search_runtime\embedding_distance_katz_search\20260412_185555\run_0009\base.yaml,1,0.07,1.0,True,True,0.95,0.19048354464914521,0.0,0.3169230769230769,0.0,0.15138095238095248,0.0
run_0013,C:\Users\lovro\Desktop\hackatoni\LUMEN2026\classic_methods\output_search\embedding_distance_katz_search\20260412_185555\run_0013\validation_summary.json,C:\Users\lovro\Desktop\hackatoni\LUMEN2026\classic_methods\config\search_runtime\embedding_distance_katz_search\20260412_185555\run_0013\base.yaml,1,0.1,1.0,True,True,0.95,0.1904822164522034,0.0,0.32,0.0,0.15048351648351654,0.0
run_0005,C:\Users\lovro\Desktop\hackatoni\LUMEN2026\classic_methods\output_search\embedding_distance_katz_search\20260412_185555\run_0005\validation_summary.json,C:\Users\lovro\Desktop\hackatoni\LUMEN2026\classic_methods\config\search_runtime\embedding_distance_katz_search\20260412_185555\run_0005\base.yaml,1,0.04,1.0,True,True,0.95,0.1894376940718532,0.0,0.3169230769230769,0.0,0.15008669108669115,0.0
run_0014,C:\Users\lovro\Desktop\hackatoni\LUMEN2026\classic_methods\output_search\embedding_distance_katz_search\20260412_185555\run_0014\validation_summary.json,C:\Users\lovro\Desktop\hackatoni\LUMEN2026\classic_methods\config\search_runtime\embedding_distance_katz_search\20260412_185555\run_0014\base.yaml,1,0.1,1.0,True,True,0.9,0.18899892333821497,0.0,0.32,0.0,0.1487399267399268,0.0
run_0002,C:\Users\lovro\Desktop\hackatoni\LUMEN2026\classic_methods\output_search\embedding_distance_katz_search\20260412_185555\run_0002\validation_summary.json,C:\Users\lovro\Desktop\hackatoni\LUMEN2026\classic_methods\config\search_runtime\embedding_distance_katz_search\20260412_185555\run_0002\base.yaml,1,0.02,1.0,True,True,0.9,0.18697764522789342,0.0,0.3230769230769231,0.0,0.14489865689865694,0.0
run_0017,C:\Users\lovro\Desktop\hackatoni\LUMEN2026\classic_methods\output_search\embedding_distance_katz_search\20260412_185555\run_0017\validation_summary.json,C:\Users\lovro\Desktop\hackatoni\LUMEN2026\classic_methods\config\search_runtime\embedding_distance_katz_search\20260412_185555\run_0017\base.yaml,1,0.2,1.0,True,True,0.95,0.1837333925301232,0.0,0.3046153846153846,0.0,0.14631257631257635,0.0
run_0004,C:\Users\lovro\Desktop\hackatoni\LUMEN2026\classic_methods\output_search\embedding_distance_katz_search\20260412_185555\run_0004\validation_summary.json,C:\Users\lovro\Desktop\hackatoni\LUMEN2026\classic_methods\config\search_runtime\embedding_distance_katz_search\20260412_185555\run_0004\base.yaml,1,0.02,1.0,True,True,0.7,0.18235845349289737,0.0,0.31384615384615383,0.0,0.141985347985348,0.0
